type,source,episodes,status,airing,rating,score,scored_by,popularity,members,genre
Movie,Unknown,1,FinishedAiring,FALSE,None,7.05,20,11617,170,Drama
TV,Manga,24,FinishedAiring,FALSE,R-17+(violence&profanity),7.7,2684,3338,12673,"Adventure,Mystery"
OVA,Unknown,4,FinishedAiring,FALSE,Rx-Hentai,5.94,940,6663,2185,"Fantasy,Hentai,Demons,Horror,Sci-Fi"
OVA,Manga,2,FinishedAiring,FALSE,Rx-Hentai,7.04,1091,5651,3451,Hentai
OVA,Visualnovel,2,FinishedAiring,FALSE,PG-13-Teens13orolder,5.58,8348,2980,15962,"Sci-Fi,Supernatural,Drama,Romance,Fantasy,ShounenAi"
OVA,Manga,1,FinishedAiring,FALSE,PG-13-Teens13orolder,6.9,4685,2973,16145,"Action,School,Shounen"
Special,Novel,1,FinishedAiring,FALSE,PG-13-Teens13orolder,3.6,10,12128,140,"Sci-Fi,SliceofLife"
TV,Manga,25,FinishedAiring,FALSE,PG-Children,6.71,23040,1561,48456,"Comedy,Magic,School,Shoujo"
OVA,Manga,1,FinishedAiring,FALSE,R-17+(violence&profanity),5.97,92,9179,608,"Action,Horror,Demons,Supernatural"
TV,4-komamanga,13,FinishedAiring,FALSE,PG-13-Teens13orolder,7.96,93040,516,156252,"SliceofLife,Comedy,Romance"
