anime_id,title,type,source,status,rating,score,rank,popularity,genre
36316,Shichisei no Subaru,TV,Light novel,Not yet aired,None,0,0,4600,"Action, Fantasy, Game, Sci-Fi"
36317,Gaikotsu Shotenin Honda-san,TV,Web manga,Not yet aired,None,0,0,9671,"Slice of Life, Comedy, Supernatural"
36318,Quanzhi Fashi 2nd Season,ONA,Novel,Finished Airing,PG-13 - Teens 13 or older,6.65,4984,3031,"Action, Magic, Fantasy, School"
36321,Itsumo Kokoro ni Hohoemi wo,OVA,Original,Finished Airing,G - All Ages,1,10648,14393,Kids
36322,Shippai Ippai mo Ikkai,OVA,Original,Finished Airing,G - All Ages,5.33,12136,14328,Kids
36323,Kimari no Nai Kuni,OVA,Original,Finished Airing,G - All Ages,1,10914,14395,Kids
36324,Nijiiro no Fushigina Ishi,OVA,Original,Finished Airing,G - All Ages,1,11511,14378,Kids
36325,Wao-kun no Hane,OVA,Original,Finished Airing,G - All Ages,1,12671,14409,Kids
36326,Tamagawa Kyoudai,OVA,Novel,Finished Airing,PG-13 - Teens 13 or older,6.14,12352,14302,Historical
36327,Fate/Apocrypha: Seihai Daisen Kaimaku-hen,Special,Light novel,Finished Airing,R - 17+ (violence & profanity),6.39,6029,4308,"Action, Historical, Supernatural, Drama, Magic, Fantasy"
36339,Nissin no Donbei x Kemono Friends,ONA,Original,Finished Airing,G - All Ages,6.27,6519,7188,Comedy
36345,AOTU Shijie 2,ONA,Web manga,Finished Airing,PG-13 - Teens 13 or older,5.8,9633,11366,"Action, Sci-Fi, Adventure, Fantasy"
36347,Gomennasai,Music,Original,Finished Airing,G - All Ages,4.46,10259,14140,"Music, Kids"
36348,Cat&#039;s Eye Love,Music,Original,Finished Airing,G - All Ages,3.13,9800,14118,"Music, Kids"
36349,Gum Shaara,Music,Original,Finished Airing,G - All Ages,2.89,10283,14241,"Music, Kids"
36350,Kuma no Nuigurumi,Music,Original,Finished Airing,G - All Ages,4.93,11002,14082,Music
36351,Kotatsu Musume de Teketekete,Music,Original,Finished Airing,G - All Ages,3.38,10976,14258,Music
36352,Gomen yo! Wanwan,Music,Original,Finished Airing,G - All Ages,3.86,10258,14270,"Music, Kids"
36353,Sabishi Gariya-san Konnichiwa,Music,Original,Finished Airing,G - All Ages,2.63,11922,14301,Music
36354,Saraba Seishun,Music,Original,Finished Airing,G - All Ages,3,11963,14284,Music
36355,Snowdrop,Music,Original,Finished Airing,G - All Ages,4,12161,14266,Music
36356,Tanoshii ne,Music,Original,Finished Airing,G - All Ages,3.11,12366,14267,"Music, Kids"
36357,Chibikko Cowboy,Music,Original,Finished Airing,G - All Ages,2.55,9835,14107,"Music, Kids"
36358,Tsubiregg Tsuburegg March,Music,Original,Finished Airing,G - All Ages,2.57,12504,14303,Music
36359,TV ga Kita hi,Music,Original,Finished Airing,G - All Ages,2.91,12534,14233,Music
36360,Hasami Togi,Music,Original,Finished Airing,G - All Ages,4.13,10355,14243,"Music, Kids"
36361,Bubble Bath,Music,Original,Finished Airing,G - All Ages,4.5,9769,14062,"Music, Kids"
36362,Hamburger no Tsukurikata,Music,Original,Finished Airing,G - All Ages,4,10313,14120,"Music, Kids"
36368,Katasumi no Uroko,ONA,Original,Finished Airing,G - All Ages,6.62,10791,12831,"Adventure, Drama, Fantasy"
36369,Ginga Eiyuu Densetsu: Die Neue These Seiran 1,Movie,Novel,Not yet aired,None,0,0,6152,"Action, Military, Sci-Fi, Space, Drama"
36370,Ginga Eiyuu Densetsu: Die Neue These Seiran 2,Movie,Novel,Not yet aired,None,0,0,7242,"Action, Military, Sci-Fi, Space, Drama"
36371,Ginga Eiyuu Densetsu: Die Neue These Seiran 3,Movie,Novel,Not yet aired,None,0,0,7227,"Action, Military, Sci-Fi, Space, Drama"
36372,Hiromi,Music,Original,Finished Airing,G - All Ages,4,10472,14207,"Music, Kids"
36373,Pink Jumon,Music,Original,Finished Airing,G - All Ages,4.85,11766,14185,"Magic, Music"
36374,Flamingo Waltz,Music,Original,Finished Airing,G - All Ages,3.38,10091,14270,"Music, Kids"
36375,Furusato no Nai Aki,Music,Original,Finished Airing,G - All Ages,4,10126,14240,"Music, Kids"
36376,Hedler no Yama,Music,Original,Finished Airing,G - All Ages,4.13,10372,14244,"Music, Kids"
36377,Bokunchi no Chabo,Music,Original,Finished Airing,G - All Ages,2.33,9748,14174,"Music, Kids"
36378,Hotaru Koi,Music,Original,Finished Airing,G - All Ages,3,10512,14222,"Music, Kids"
36380,Power Powan,Music,Original,Finished Airing,G - All Ages,3.75,11818,14321,Music
36381,Ponta Monogatari,Music,Original,Finished Airing,G - All Ages,3.33,11801,14283,"Music, Supernatural"
36382,Mama Gomennasai,Music,Original,Finished Airing,G - All Ages,2.63,11145,14249,"Music, Kids"
36383,Mama no Earring,Music,Original,Finished Airing,G - All Ages,3.75,11146,14250,Music
36384,Mama no Kekkon,Music,Original,Finished Airing,G - All Ages,3.67,11147,14275,Music
36385,Minna no Umi,Music,Original,Finished Airing,G - All Ages,3.63,11277,14277,Music
36386,Meiwaku Danchi,Music,Original,Finished Airing,G - All Ages,3.67,11225,14125,"Music, School"
36387,Yasashii Kaze,Music,Original,Finished Airing,G - All Ages,3.78,12750,14190,Music
36388,Yasashi-sa no Tamatebako,Music,Original,Finished Airing,G - All Ages,3.5,12749,14173,Music
36389,Yukai na Mezamashi Tokei,Music,Original,Finished Airing,G - All Ages,3.1,12795,14237,Music
36390,Reset,Music,Original,Finished Airing,G - All Ages,4,11869,14230,Music
36391,Lu La La,Music,Original,Finished Airing,G - All Ages,3.5,11097,14248,Music
36392,Waga Na wa Cowboy,Music,Original,Finished Airing,G - All Ages,4,12622,14234,Music
36393,One Nyan Monogatari,Music,Original,Finished Airing,G - All Ages,3.86,11618,14298,Music
36394,Wonderful World: Ganmen Shintaisou,Music,Original,Finished Airing,G - All Ages,3.63,12675,14306,Music
36395,Ichiendama no Tabigarasu,Music,Original,Finished Airing,G - All Ages,4.48,10542,13933,"Adventure, Music, Samurai"
36396,Ima demo Senchou to Yobarete iru Senchou no Yoru,Music,Original,Finished Airing,G - All Ages,3.14,10566,14245,Music
36397,Shiyan Pin Jiating,TV,Web manga,Currently Airing,PG-13 - Teens 13 or older,6.57,5391,2623,"Sci-Fi, Seinen"
36398,Na mo Nai Hana no Youni,Music,Original,Finished Airing,G - All Ages,3.5,11362,14099,Music
36399,Yumehito: Yumejin,Music,Original,Finished Airing,G - All Ages,3.8,12815,14191,Music
36400,Koinu no Blue,Music,Original,Finished Airing,G - All Ages,4.53,10943,14110,Music
36401,Kozou no Koushin,Music,Original,Finished Airing,G - All Ages,4.36,10989,14124,Music
36402,Chiisana Tegami,Music,Original,Finished Airing,G - All Ages,3.17,9859,14048,"Music, Kids"
36403,Kawa wa Dare no Mono?,Music,Original,Finished Airing,G - All Ages,4.76,10798,13731,Music
36404,"Attakai, Fuyu Canada",ONA,Original,Finished Airing,G - All Ages,6.44,5834,9994,Slice of Life
36407,Kenja no Mago,Unknown,Light novel,Not yet aired,None,0,0,6019,"Action, Comedy, Magic, Fantasy"
36409,Yodel no Onna,TV,Original,Currently Airing,G - All Ages,5.7,8011,9646,"Music, Comedy"
36410,Littleforestmello,ONA,Original,Currently Airing,G - All Ages,6.1,11088,11818,Kids
36411,Mushinin,ONA,Game,Currently Airing,G - All Ages,5.75,11355,13525,"Samurai, Shounen"
36418,Koneko no Chii: Ponponra Dairyokou,TV,Original,Currently Airing,G - All Ages,6.49,5651,8296,Slice of Life
36419,Katsugeki/Touken Ranbu Movie,Movie,Card game,Not yet aired,None,0,0,5124,"Action, Samurai, Fantasy"
36423,Zhandou Wang Zhi Jufeng Zhan Hun,TV,Original,Finished Airing,PG - Children,6.4,12846,13342,"Action, Kids, Shounen"
36424,Princess Principal: Ange Report,ONA,Original,Finished Airing,R - 17+ (violence & profanity),6.62,5131,5274,"Action, Mystery"
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,TV,Original,Finished Airing,PG - Children,6.5,12847,13906,"Action, Kids, Shounen"
36427,Zhandou Wang Zhi Jufeng Zhan Hun 3,TV,Original,Finished Airing,PG - Children,5.78,12848,13790,"Action, Kids, Shounen"
